id Объекта,Объект,id Ведомственной Организации,Ведомственная Организация,Доступность,Доступность
100000,Дворец культуры «Капотня»,237332,Департамент культуры города Москвы,3,#REF!
100002,Спортивный комплекс «Полярная звезда»,219165,Москомспорт.,3,#REF!
100004,"Парк, озелененная городская территория «Парк культуры и отдыха «Красная Пресня»»",237332,Департамент культуры города Москвы,2,#REF!
100005,Досуговый центр «Старт-7»,237424,Управа Пресненского района города Москвы,3,#REF!
100012,Дворовая территория,237339,Префектура Центрального административного округа города Москвы,4,#REF!
100013,"Пункт выдачи спортивного инвентаря ГБУ «МосСпортОбъект», ул. Заречье, дом 7, строение 5",219165,Москомспорт.,3,#REF!
100014,Фитнес клуб «Максим»,NULL,NULL,3,#REF!
100016,Государственное бюджетное учреждение города Москвы Центр культуры досуга и спорта «Истоки»,237343,Префектура Юго-Восточного административного округа города Москвы,3,#REF!
100017,Государственное бюджетное учреждение города Москвы Центр культуры досуга и спорта «Истоки»,237343,Префектура Юго-Восточного административного округа города Москвы,3,#REF!
100018,Досуговый центр «Юго-Восток»,237343,Префектура Юго-Восточного административного округа города Москвы,3,#REF!
100019,Досуговый центр «Лефортово»,237437,Управа района Лефортово города Москвы,3,#REF!
100022,Дворовая территория,237343,Префектура Юго-Восточного административного округа города Москвы,4,#REF!
100024,Досуговый центр «Содействие в воспитании здоровой и спортивной нации»,NULL,NULL,3,#REF!
100025,Физкультурно-оздоровительный комплекс «Вороново»,NULL,NULL,3,#REF!
100026,Стадион «Солнечный городок»,NULL,NULL,2,#REF!
100027,Досуговый центр «Дом культуры «Воскресенское»,NULL,NULL,3,#REF!
100028,Объединенный санаторий и дом отдыха «Десна»,259812,Министерство внутренних дел Российской Федерации,3,#REF!
100030,Городской стадион,NULL,NULL,2,#REF!
100031,Дворец спорта «Квант»,NULL,NULL,3,#REF!
100032,Городской спортивно-оздоровительный центр «Гармония»,NULL,NULL,3,#REF!
100033,Фитнес-клуб «Мисс фитнес»,NULL,NULL,3,#REF!
100034,Стадион «ГБУ «СШ № 4» Москомспорта»,219165,Москомспорт.,2,#REF!
100035,Спортивный зал «ГБУ «СШ № 4» Москомспорта»,219165,Москомспорт.,3,#REF!
100036,Фитнес клуб «Титаниум»,NULL,NULL,3,#REF!
100038,Досуговый центр «Лотос»,237406,Управа района Внуково города Москвы,3,#REF!
100039,Физкультурно-оздоровительный комплекс «Центр спорта Московский»,NULL,NULL,3,#REF!
100042,Дворовая территория,NULL,NULL,4,#REF!
100044,Спортивный комплекс «Нагорный»,219165,Москомспорт.,3,#REF!
100046,Досуговый центр «САМ плюс»,237430,Управа Красносельского района города Москвы,3,#REF!
100047,Досуговый центр «Российский центр каскадеров «Трюк»,237430,Управа Красносельского района города Москвы,3,#REF!
100049,Спортивный комплекс «Чертаново»,219165,Москомспорт.,2,#REF!
100053,Спортивный зал «Альтаир»,NULL,NULL,3,#REF!
100054,Досуговый центр «Кожуховский самбист»,NULL,NULL,3,#REF!
100058,Фитнес клуб «СпортЛэнд»,NULL,NULL,3,#REF!
100059,Досуговый центр «Истоки»,237343,Префектура Юго-Восточного административного округа города Москвы,3,#REF!
100060,Молодежный и детский центр досуга «Информационное Образование»,NULL,NULL,3,#REF!
100061,ГБУ «Центр досуга и спорта «Обручевский»,237446,Управа Обручевского района города Москвы,3,#REF!
100062,Муниципальное учреждение «Спортивный клуб «Русь»,NULL,NULL,4,#REF!
